,adress,coordinates
12793,"Москва, улица Толбухина, 10, корп. 4",55.7202909 37.4057949
12794,"Москва, улица Гришина, 23к1",55.7246297 37.4149294
12795,"Москва, Садовая-Самотёчная улица, 13, стр. 1",55.7739499 37.6177305
12796,"Москва, Серебряническая набережная, 27",55.7501478 37.6522134
12797,"Москва, Центральный административный округ, Красносельский район, Каланчёвская улица, 16с1",55.7775538 37.649522
12798,"Москва, Енисейская улица, 28к2",55.8712616 37.6688628
12799,"Москва, Вольная улица, 28/4к1",55.776311 37.7369842
12800,"Москва, Зелёный проспект, 81",55.7518425 37.8203577
12801,"Москва, улица Шолохова, 9А",55.6394611 37.3478157
12802,"Москва, Театральная площадь, 5с3",55.7573747 37.6212303
12803,"Москва, Новочерёмушкинская улица, 21, корп. 1",55.6822967 37.5816285
12804,"Москва, Зубовский бульвар, 17с1",55.7362108 37.5907954
12805,"Москва, Пятницкая улица, 36",55.7389919 37.6280041
12806,"Москва, Яковоапостольский переулок, 6, стр. 3",55.7577716 37.6541005
12807,"Москва, улица Медведева, 4",55.7172838 37.8821035
12808,"Москва, поселение Вороновское, квартал № 114",55.7540471 37.620405
12809,"Москва, Молодогвардейская улица, 2к1",55.7338771 37.4426459
12810,"Москва, Троицк, Сиреневый бульвар, 1Б",55.4675104 37.2962205
12811,"Москва, ул. Пудовкина, 7А-7В",55.7261694 37.5281707
12812,"Москва, Новослободская улица, 20, стр. 4",55.7823445 37.5990702
12813,"Москва, Малый Афанасьевский переулок, 1/33",55.7507673 37.5986741
12814,"Москва, шоссе Энтузиастов, 2, стр. 1",55.7469091 37.6904159
12815,"Москва, Большая Новодмитровская улица, 14, стр. 1",55.8005628 37.5857426
12816,"Москва, Клязьминская улица, 17",55.8897867 37.5269069
12817,"Москва, Камчатская улица, 3",55.8242839 37.8079936
12818,"Москва, Нижегородская улица, 29-33с3",55.7338596 37.7115687
12819,"Москва, улица Арбат, 4с1-1А",55.7519271 37.5983563
12820,"Москва, Новокосинская улица, 17, корп. 3",55.7391559 37.8566092
12821,"Москва, проспект Вернадского, 21, корп. 3, стр. 1",55.684138 37.522225
12822,"Москва, Болотниковская улица, 11, корп. 1",55.6561018 37.6080221
12823,"Москва, улица Вавилова, 5Б, стр. 2",55.705102 37.588817
12824,"Москва, Строгинский бульвар, 26, корп. 2",55.8022038 37.4044084
12825,"Москва, Большой Дровяной переулок, 8с1",55.7437858 37.6571389
12826,"Москва, улица Вавилова, 65А",55.684665 37.554439
12827,"Москва, Веерная улица, 4к2",55.7122095 37.488412
12828,"Москва, Волоцкой переулок, 3",55.8334059 37.3476445
12829,"Москва, Каширское шоссе, 45, стр. 4",55.644333 37.676286
12830,"Москва, Озёрная улица, 33, корп. 2",55.6709527 37.4477773
12831,"Москва, Мясницкая улица, 21, стр. 8",55.7642194 37.6345765
12832,"Москва, Череповецкая улица, вл14А",55.89796 37.5743846
12833,"Москва, улица Клары Цеткин, 29",55.8253978 37.5144435
12834,"Москва, Орликов переулок, 8",55.7714589 37.6493831
12835,"Москва, улица Щипок, 11, стр. 1",55.726068 37.6310861
12836,"Москва, Саянская улица, 9",55.7683861 37.8327349
12837,"Москва, улица Волхонка, 9, стр. 1",55.7470284 37.6076015
12838,"Москва, Минская улица, 22",55.7424901 37.4814318
12839,"Москва, Московский, 3-й микрорайон, 11",55.595532 37.342095
12840,"Москва, улица Мусоргского, 3",55.8628043 37.6196017
12841,"Москва, улица Земляной Вал, 12/7с1",55.7617626 37.6566134
12842,"Москва, улица Неверовского, 9",55.7380514 37.5103157
12843,"Москва, Нижняя Сыромятническая улица, 10, стр. 10",55.7531473 37.6673644
12844,"Москва, улица Маршала Неделина, 16, стр. 5",55.7243362 37.4105316
12845,"Москва, Старая Басманная улица, 31",55.7685308 37.6671592
12846,"Москва, Востряковский проезд, 15Б",55.5750691 37.6465947
12847,"Москва, Новомарьинская улица, 1/8",55.6512955 37.7455772
12848,"Москва, Измайловский проспект, 63",55.7886055 37.7855836
12849,"Москва, Автозаводская улица, 16, корп. 2, стр. 8",55.705939 37.646597
12850,"Москва, шоссе Киевское, километр 22-й, дв4, строение1, корпус Б",55.634144 37.441014
12851,"Москва, Мосфильмовская улица, 70, стр. 1",55.7152487 37.5089675
12852,"Москва, Дубнинская улица, 79Ас8",55.8868864 37.5511166
12853,"Москва, Совхозная улица, 22/50",55.6812792 37.7649525
12854,"Москва, Зеленоград, Заводская улица, 16А",55.9763299 37.1787885
12855,"Москва, Старый Толмачёвский переулок, 1",55.7395014 37.6307448
12856,"Москва, Алтуфьевское шоссе, 58",55.881747 37.587712
12857,"Москва, улица Куусинена, 9, корп. 2",55.7813314 37.513794
12858,"Москва, Конюшковская улица, 34, стр. 1",55.760387 37.5789513
12859,"Москва, Гжельский переулок, 20",55.7477851 37.677963
12860,"Москва, Малый Сухаревский переулок, 10с1",55.7703616 37.6247165
12861,"Москва, Митинская улица, 40, корп. 1",55.8480698 37.361351
12862,"Москва, Большой Саввинский переулок, 14с1",55.7320631 37.5641809
12863,"Москва, Большая Юшуньская улица, 1А, корп. 2",55.649746 37.595303
12864,"Москва, улица Тёплый Стан, 14/2",55.6305235 37.4841793
12865,"Москва, улица Красного Маяка, 15Ас1",55.6084278 37.5797083
12866,"Москва, улица Менжинского, 21",55.8688386 37.6673504
12867,"Москва, Кольская улица, 14, стр. 5",55.863296 37.6482731
12868,"Москва, Палехская улица, 126",55.8767728 37.7121697
12869,"Москва, Звенигородское шоссе, 18/20к1",55.7644897 37.5561847
12870,"Москва, МКАД, 41-й километр, 4, стр. 28",55.6110182 37.4888571
12871,"Москва, поселение Воскресенское, оздоровительный комплекс Десна, вл1",55.5114328 37.4190046
12872,"Москва, Осенний бульвар, 21",55.7632234 37.4060341
12873,"Москва, Большой Знаменский переулок, 2, стр. 3",55.7458645 37.6024397
12874,"Москва, Ярцевская улица, 1",55.7351189 37.4058404
12875,"Москва, проспект Вернадского, 105, корп. 3",55.663811 37.484864
12876,"Москва, Часовая улица, 10/1",55.8082484 37.5327129
12877,"Москва, Дубнинская улица, 20А",55.873111 37.5594228
12878,"Москва, Фрязевская улица, 9, корп. 1",55.7463037 37.8222496
12879,"Москва, Нелидовская улица, 10к1",55.8466029 37.4427828
12880,"Москва, Пятницкая улица, 62, стр. 3",55.7328377 37.6270101
12881,"Москва, Алма-Атинская улица, 3, корп. 1А",55.6423846 37.7690027
12882,"Москва, 1-я Хуторская улица, 2к2",55.8019777 37.5669443
12883,"Москва, Малая Пироговская улица, 15",55.7281221 37.5697583
12884,"Москва, Волков переулок, 4",55.7617799 37.5749768
12885,"Москва, Каспийская улица, 38",55.6184132 37.6655217
12886,"Москва, проспект Вернадского, 121, корп. 1",55.657189 37.481909
12887,"Москва, 2-я Брестская улица, 8",55.7711815 37.5907049
12888,"Москва, улица Академика Миллионщикова, 31к3",55.66272 37.6476107
12889,"Москва, Гольяновская улица, 7к1",55.7754503 37.7099193
12890,"Москва, бульвар Маршала Рокоссовского, 6к1В",55.8117311 37.7294115
12891,"Москва, Бескудниковский бульвар, 19, корп. 1",55.8655134 37.5563206
12892,"Москва, проспект Академика Сахарова, 10",55.768732 37.6420368
12893,"Москва, Планерная улица, 16",55.864904 37.437379
12894,"Москва, Большой Лёвшинский переулок, 3",55.7431754 37.5903899
12895,"Москва, улица Большая Дмитровка, 8с5",55.761099 37.6163918
12896,"Москва, Волоколамское шоссе, 88к9с1",55.8235946 37.4458801
12897,"Москва, улица Гурьянова, 2А",55.69386 37.72306
12898,"Москва, 1-й Нагатинский проезд, 11к1",55.678707 37.634631
12899,"Москва, Ленинградский проспект, 66",55.802761 37.526007
12900,"Москва, Измайловский бульвар, 16",55.7961233 37.7893623
12901,"Москва, МКАД, 41-й километр, 4, стр. 32",55.6110182 37.4888571
12902,"Москва, Пресненская наб., 6, корп.2",55.7482404 37.5408836
12903,"Москва, Талдомская улица, 2с1",55.8710177 37.5202919
12904,"Москва, Поморская улица, 48А, стр. 10",55.8701795 37.5723057
12905,"Москва, 2-я Владимирская улица, 40",55.7497641 37.7844404
12906,"Москва, улица Маршала Захарова, 25",55.6189542 37.6991696
12907,"Москва, 2-я Брестская улица, 41с1",55.7743922 37.5843513
12908,"Москва, Каширское шоссе, 3к2с9",55.6720031 37.6315387
12909,"Москва, Белозерская улица, 11Г",55.8976549 37.6137409
12910,"Москва, улица Большая Якиманка, 54",55.7314094 37.6115514
12911,"Москва, улица Адмирала Макарова, 15",55.8290003 37.493285
12912,"Москва, Большая Новодмитровская улица, 14, стр. 2",55.801074 37.5871361
12913,"Москва, Колымажный переулок, 6, стр. 1",55.7478042 37.6066228
12914,"Москва, Зоологическая улица, 3",55.7647016 37.5802758
12915,"Москва, Дмитровское шоссе, 73, стр. 4",55.8572632 37.5586179
12916,"Москва, Автозаводская улица, 16, корп. 2, стр. 13",55.704783 37.645007
12917,"Москва, посёлок Коммунарка, жилой комплекс Бунинские Луга",55.5704931 37.4754231
12918,"Москва, Чертановская улица, 45Б",55.6066185 37.5915822
12919,"Москва, Очаковское шоссе, 12вл3",55.6945921 37.454166
12920,"Москва, Ставропольская улица, 84, стр. 1",55.6719715 37.8046339
12921,"Москва, улица Свободы, 85, стр. 3",55.8642041 37.4424697
12922,"Москва, Люсиновская улица, 11/12с1",55.7281687 37.6236354
12923,"Москва, Ореховый бульвар, 25",55.6131285 37.7277376
12924,"Москва, река Котловка",55.7540471 37.620405
12925,"Москва, ул. 1-я Леонова, 18",55.8449911 37.6391672
12926,"Москва, Октябрьская улица, 1",55.785043 37.613207
12927,"Москва, улица Малая Дмитровка, 29с1",55.7713482 37.6039012
12928,"Москва, Селезнёвская улица, 11Б",55.7816283 37.6045062
12929,"Москва, Нахимовский проспект, 38",55.677477 37.5670957
12930,"Москва, поселение Сосенское, Скандинавский бульвар, 10",55.5642519 37.4999242
12931,"Москва, Химкинский бульвар, 15",55.8495447 37.4469416
12932,"Москва, Бауманская улица, 58/25с6",55.7674522 37.6792588
12933,"Москва, Ясеневая улица, 12к5",55.6023535 37.7335765
12934,"Москва, Новомарьинская улица, 4",55.6510979 37.7490731
12935,"Москва, 5-я Кожуховская улица, 12",55.7050295 37.6689355
12936,"Москва, Филёвский бульвар, 6А",55.7647394 37.4884516
12937,"Москва, Солнечногорская улица, 4, стр. 19",55.8574284 37.5227099
12938,"Москва, улица Верхние Поля, 2",55.661262 37.742842
12939,"Москва, Покровский бульвар, 14/6",55.754983 37.647675
12940,"Москва, Балаклавский проспект, вл28",55.6447164 37.5906693
12941,"Москва, улица Плещеева, 15Б",55.8909778 37.6170739
12942,"Москва, улица Вертолётчиков, 2А, корп. 1",55.699147 37.941568
12943,"Москва, Московский, Солнечная улица, 15",55.5890347 37.3711269
12944,"Москва, 2-й Сыромятнический переулок, 1",55.7538147 37.6620608
12945,"Москва, Комсомольский проспект, 42, стр. 2",55.721744 37.5729822
12946,"Москва, Автомоторная улица, 1/3",55.8467033 37.5396178
12947,"Москва, улица Авиаконструктора Миля, 4А",55.6871763 37.850855
12948,"Москва, Донецкая улица, 23, стр. 2",55.6473187 37.7154991
12949,"Москва, Малая Бронная улица, 31/13",55.7651365 37.5913757
12950,"Москва, Витебская улица, 9",55.7108033 37.4119869
12951,"Москва, Электролитный проезд, 1Б",55.6730048 37.6206649
12952,"Москва, Канатчиковский проезд, 5с2",55.7022483 37.592101
12953,"Москва, улица Вавилова, 69А",55.681047 37.551088
12954,"Москва, улица Грузинский Вал, 14",55.7728607 37.577218
12955,"Москва, Нижняя Сыромятническая улица, 11с25",55.7543649 37.6704785
12956,"Москва, Весковский переулок, 6/39",55.778634 37.600352
12957,"Москва, улица Маршала Тухачевского, 32",55.7849054 37.4734565
12958,"Москва, Новозаводская улица, 23/8к1",55.7521897 37.5014364
12959,"Москва, улица Барышиха, 32, корп. 1",55.849037 37.347063
12960,"Москва, проспект Маршала Жукова, 4, стр. 3",55.776639 37.500899
12961,"Москва, Профсоюзная улица, 102с1",55.643658 37.526232
12962,"Москва, 3-й Силикатный проезд, 1, корп. 1",55.7680124 37.4957156
12963,"Москва, Большой Каретный переулок, 8, стр. 2",55.7708162 37.6172911
12964,"Москва, Ленинградское шоссе, 130, корп. 3",55.870789 37.462334
12965,"Москва, улица Шаболовка, 59к1А",55.7152537 37.6083079
12966,"Москва, 2-й Донской проезд, 4, стр. 3",55.7130258 37.5928582
12967,"Москва, площадь Победы, 2, корп. 3",55.7382724 37.5207244
12968,"Москва, Симферопольский бульвар, 24, корп. 2",55.6457997 37.6044849
12969,"Москва, улица Черняховского, 4А",55.803196 37.534237
12970,"Москва, Проектируемый проезд № 5112, 1-3",55.6635754 37.7120483
12971,"Москва, Бережковская набережная",55.7348792 37.5604097
12972,"Москва, улица Академика Миллионщикова, 19",55.66841 37.6486274
12973,"Москва, Онежская улица, 9/4кА",55.8484641 37.5199594
12974,"Москва, Брянская улица, 5",55.7439081 37.5617242
12975,"Москва, Пятницкая улица, 2/38с1",55.7454543 37.6263515
12976,"Москва, улица Верхняя Масловка, 9",55.7927826 37.5647606
12977,"Москва, Варшавское шоссе, 170",55.580197 37.587137
12978,"Москва, Лесная улица, 20, стр. 6",55.7797395 37.5909396
12979,"Москва, улица Шаболовка, 31, стр. 6",55.7204838 37.6107684
12980,"Москва, Новогиреевская улица, 29к1",55.754994 37.7981238
12981,"Москва, улица Земляной Вал, 27с2",55.75864 37.658958
12982,"Москва, Подсосенский переулок, 26, стр. 1",55.7555057 37.6534321
12983,"Москва, Огородный проезд, 20, стр. 27",55.818655 37.595168
12984,"Москва, Мичуринский проспект, 54, корп. 2",55.6940102 37.4889253
12985,"Москва, Волгоградский проспект, 117, корп. 3",55.7063098 37.7636939
12986,"Москва, Духовской переулок, 19с2",55.7038472 37.6133693
12987,"Москва, улица Академика Опарина, 7",55.646919 37.506783
12988,"Москва, Тушинская улица, 24, стр. 15",55.828223 37.439607
12989,"Москва, Остаповский проезд, 11, стр. 4",55.7207258 37.7145794
12990,"Москва, Щербинка",55.5086668 37.5632926
12991,"Москва, поселение Рязановское, Остафьевское шоссе, 14, корп. 2",55.49929 37.521309
12992,"Москва, Авангардная улица, 5",55.8443097 37.4902915
12993,"Москва, Бартеневская улица, 12",55.5516502 37.5281676
12994,"Москва, Рязанский проспект, 75, стр. 1",55.717776 37.792411
12995,"Москва, Рябиновая улица, 43Б, корп. 2",55.699046 37.424983
12996,"Москва, улица Архитектора Власова, 6, стр. 1",55.679926 37.550004
12997,"Москва, Армавирская улица, 6",55.6743559 37.7532147
12998,"Москва, Электродная улица, 2с12-14",55.7541123 37.749813
12999,"Москва, Комсомольский проспект, 32, корп. 2",55.7260239 37.5779893
13000,"Москва, улица Коминтерна, 7к2",55.8639421 37.6772769
13001,"Москва, Варшавское шоссе, 28А",55.682803 37.617941
13002,"Москва, парк Событие",55.7540471 37.620405
13003,"Москва, 1-я Владимирская улица, 10Б, стр. 2",55.7586087 37.771032
13004,"Москва, ул. Домодедовская, 4",55.6159906 37.7031911
13005,"Москва, Никитинская улица, 1к2",55.7952561 37.7740592
13006,"Москва, улица Буракова, 6, стр. 4",55.7641774 37.7263403
13007,"Москва, улица Гришина, 20",55.7245441 37.4161266
13008,"Москва, Новодмитровская улица, 1, стр. 14",55.8073729 37.5840408
13009,"Москва, Бойцовая улица, 13, стр. 1",55.8115104 37.7166068
13010,"Москва, Северный ландшафтный парк",55.7540471 37.620405
13011,"Москва, улица Бутырский Вал, 10",55.7784871 37.5859327
13012,"Москва, Кантемировская улица, 39",55.63744 37.660551
13013,"Москва, поселение Московский, деревня Лапшинка, 8А, корп. 5",55.6075516 37.3361657
13014,"Москва, Окская улица, 24/1к1",55.7131816 37.7617201
13015,"Москва, улица Маршала Федоренко, 3",55.8789203 37.4926804
13016,"Москва, Бойцовая улица, 16",55.8128784 37.7205916
13017,"Москва, Пятницкая улица, 73",55.7305457 37.6260525
13018,"Москва, пер. Красина, 16, стр. 1",55.7680274 37.5828131
13019,"Москва, проспект Мира, 5к1",55.7741854 37.6319568
13020,"Москва, Изюмская улица, 22, корп. 3",55.5519944 37.5572033
13021,"Москва, поселение Мосрентген, деревня Дудкино, садоводческое некоммерческое товарищество Круиз, 208",55.6287291 37.4610617
13022,"Москва, Семёновская набережная, 2/1с2",55.7766343 37.7055742
13023,"Москва, Люблинская улица, 112Ас1",55.648931 37.743471
13024,"Москва, улица Наташи Ковшовой, 18",55.6784867 37.4437958
13025,"Москва, Угрешская улица, 12, стр. 2",55.7135727 37.6958292
13026,"Москва, улица Крымский Вал, 3, стр. 3",55.7296127 37.608399
13027,"Москва, улица Петровка, 5",55.7617468 37.6174056
13028,"Москва, Бутырская улица, 46, стр. 1",55.7994796 37.5848103
13029,"Москва, Варшавское шоссе, 141Ак5",55.58381 37.603954
13030,"Москва, Московский, 1-й микрорайон, 41А",55.6020221 37.3532056
13031,"Москва, улица Грина, 28к1",55.5685357 37.5718976
13032,"Москва, улица Красный Казанец, 1Г",55.7227104 37.8039758
13033,"Москва, Новослободская улица, 62к12",55.7911105 37.5937574
13034,"Москва, улица Юннатов, 16А",55.80301 37.560085
13035,"Москва, Большая Новодмитровская улица, 36, стр. 6",55.8059147 37.585319
13036,"Москва, Варшавское шоссе, 129к2",55.612111 37.611886
13037,"Москва, Коптевская улица, 26, корп. 2",55.8349055 37.5216848
13038,"Москва, Ярославское шоссе, 146, корп. 2",55.8789772 37.7294417
13039,"Москва, улица Вавилова, 27",55.696458 37.570492
13040,"Москва, посёлок Коммунарка, Лазурная улица, 7",55.5672125 37.4729981
13041,"Москва, набережная Новикова-Прибоя, 6, корп. 4",55.7827915 37.4512959
13042,"Москва, Рязанский проспект, 8А, стр. 14",55.7259844 37.7561833
13043,"Москва, улица Красная Пресня, 8",55.7615581 37.5739587
13044,"Москва, улица Шаболовка, 32",55.7181766 37.6082975
13045,"Москва, Новорогожская улица, 14к1",55.7404861 37.6856414
13046,"Москва, Никулинская улица, 27, корп. 3",55.6700916 37.4504054
13047,"Москва, Пестовский переулок, 7",55.7461593 37.6594579
13048,"Москва, Новозаводская улица, 2к1",55.747293 37.5149413
13049,"Москва, посёлок Коммунарка, улица Липовый Парк, 7, корп. 2",55.5674771 37.490175
13050,"Москва, Изумрудная улица, 32",55.8742971 37.6880956
13051,"Москва, поселение Мосрентген, Проектируемый проезд № 134, 30",55.8308907 37.3595929
13052,"Москва, Комсомольский проспект, 21/10",55.7278657 37.5848149
13053,"Москва, улица Зои и Александра Космодемьянских, 4с2",55.8179656 37.5033647
13054,"Москва, Малая Грузинская улица, 25с7",55.7668319 37.571416
13055,"Москва, улица Фридриха Энгельса, 64, стр. 4",55.7778706 37.6943384
13056,"Москва, Бескудниковский бульвар, 10, корп. 5",55.8613171 37.5629899
13057,"Москва, улица Генерала Кузнецова, 27к1",55.6811759 37.8522794
13058,"Москва, Зеленоград, Панфиловский проспект, 8, стр. 5",56.0126071 37.1967458
13059,"Москва, Слободской переулок, 6, стр. 3",55.7588012 37.682281
13060,"Москва, Электрический переулок, 1, стр. 12",55.7722422 37.5738725
13061,"Москва, Новопеределкинская улица, 9А",55.6403982 37.3660953
13062,"Москва, Комсомольский проспект, 16/2с14",55.7308297 37.5876622
13063,"Москва, проезд Шокальского, 67к2",55.8860922 37.6721509
13064,"Москва, Преображенская площадь, 4",55.7947052 37.7098679
13065,"Москва, Смоленский бульвар, 17с5",55.7424699 37.5829977
13066,"Москва, Цветной бульвар, 19с4",55.771687 37.6191027
13067,"Москва, улица Поляны, 5А, корп. 3",55.555596 37.557188
13068,"Москва, Щербинка, Симферопольское шоссе, 1Ас2",55.513983 37.575783
13069,"Москва, Хорошёвское шоссе, 25А, корп. 2",55.775307 37.527238
13070,"Москва, Бутырская улица, 77, стр. 2",55.8042816 37.5820215
13071,"Москва, улица Маросейка, 7/8с1",55.7577212 37.6331107
13072,"Москва, Михайловский проезд, 3, стр. 16",55.7292638 37.686211
13073,"Москва, поселение Рязановское, посёлок Знамя Октября, 31, стр. 2",55.473163 37.542572
13074,"Москва, улица Доватора, 7/8",55.7237981 37.56907
13075,"Москва, Бакинская улица, 26",55.6188197 37.653953
13076,"Москва, Зеленоград, к1504",55.983388 37.152308
13077,"Москва, поселение Троицк",55.4846387 37.3067639
13078,"Москва, ш. Варшавское, 141",55.58639 37.59992
13079,"Москва, Береговая улица, 8, корп. 4",55.8325722 37.4703132
13080,"Москва, Новолесная улица, 3, корп. 2",55.7816906 37.5905158
13081,"Москва, Малый Сухаревский переулок, 7",55.7706001 37.624058
13082,"Москва, улица Удальцова, 5, корп. 1",55.6716888 37.5154882
13083,"Москва, Стрелецкая улица, 18",55.7959596 37.6087703
13084,"Москва, улица Авиаторов, 13, стр. 8",55.639568 37.41467
13085,"Москва, 1-я Дубровская улица, 1к3",55.7298874 37.6686096
13086,"Москва, Зубовский бульвар, 15с4",55.7355885 37.5916399
13087,"Москва, Комсомольский проспект, 13",55.7301163 37.5891633
13088,"Москва, Бакунинская улица, 14, стр. 10",55.7733158 37.6823101
13089,"г. Москва, ул. Народного Ополчения, д. 21, к. 1",55.77756 37.477256
13090,"Москва, Троицк, Центральная улица, 12",55.4723897 37.3038493
13091,"Москва, Мясницкая улица, вл24/7с2",55.7634379 37.6360688
13092,"Москва, поселение Внуковское, посёлок ДСК Мичуринец, улица Погодина, 4, стр. 5",55.6572848 37.3344358
13093,"Москва, улица Александра Невского, 1",55.7754415 37.5921696
13094,"Москва, 1-й Боткинский проезд, 2/6",55.7816122 37.5560082
13095,"Москва, Нагатинская улица, 1с40",55.6837496 37.6290316
13096,"Москва, Верхняя Первомайская улица, 49А",55.800484 37.797801
13097,"Москва, Нежинская улица, 6",55.7100229 37.470765
13098,"Москва, улица Сущёвский Вал, 20Б",55.792139 37.603433
13099,"Москва, Печатников переулок, 20, стр. 1",55.7674523 37.6297502
13100,"Москва, Зеленоград, к1145",55.9924273 37.1853156
13101,"Москва, Садовая-Черногрязская улица, 16-18с1",55.7653218 37.653795
13102,"Москва, Малая Бронная улица, 4, стр. 2",55.7595976 37.5979373
13103,"Москва, улица Академика Янгеля, 1, корп. 1",55.5941475 37.5980245
13104,"Москва, Шипиловская улица, 50, корп. 1",55.6211891 37.7381307
13105,"Москва, Цветной бульвар, 25с5",55.7725356 37.6184378
13106,"Москва, Троицкая улица, 7/1с1",55.774973 37.6223846
13107,"Москва, Ленинградское шоссе, 24, корп. 1",55.827596 37.491835
13108,"Москва, Лялин переулок, 11-13/1с2",55.758613 37.6527142
13109,"Москва, Бутырская улица, 84",55.8063625 37.5825927
13110,"Москва, улица Гиляровского, 40",55.7830433 37.632731
13111,"Москва, посёлок Коммунарка, улица Александры Монаховой, 90, корп. 2",55.543419 37.482277
13112,"Москва, Профсоюзная улица, 109А",55.6319846 37.5195586
13113,"Москва, улица Стромынка, 19А",55.7946666 37.6987654
13114,"Москва, Петрозаводская улица, 15А",55.8635719 37.4943882
13115,"Москва, поселение Сосенское, СНТ Гавриково, 236",55.5484258 37.5375908
13116,"Москва, Мясницкая улица, 13, стр. 21",55.7631352 37.6336821
13117,"Москва, поселение Первомайское, деревня Ивановское, улица Николинские Ключи, 53",55.5355238 37.1455392
13118,"Москва, Орехово-Зуевский проезд, 18/8",55.7312811 37.7537641
13119,"Москва, Столярный переулок, 3, корп. 17",55.7646541 37.5690386
13120,"Москва, Широкая улица, 30, корп. 1",55.8867008 37.6789596
13121,"Москва, Митинская улица, 28, корп. 3",55.846305 37.371416
13122,"Москва, улица Свободы, 48, стр. 1",55.8485099 37.454276
13123,"Москва, МКАД, 33-й километр, 6с6",55.578157 37.591
13124,"Москва, поселение Первомайское, деревня Рогозинино, Луговая улица, вл20Ас3",55.5402 37.183884
13125,"Москва, Щербаковская улица, 53, корп. 16",55.7838916 37.7346972
13126,"Москва, Ключевая улица, 4, корп. 2",55.6388408 37.7553583
13127,"Москва, Верейская улица, 29, стр. 134",55.7095184 37.4423643
13128,"Москва, поселение Михайлово-Ярцевское, посёлок Шишкин Лес, 26/1",55.413591 37.188232
13129,"Москва, Каширское шоссе, 67с16",55.598314 37.727769
13130,"Москва, улица Фридриха Энгельса, 3-5с2",55.771626 37.680374
13131,"Москва, улица Сущёвский Вал, 74",55.7912705 37.6327017
13132,"Москва, МКАД, 69-й километр, внешняя сторона, к7",55.866329 37.400728
13133,"Москва, Профсоюзная улица, 152, корп. 2, стр. 2",55.622827 37.506253
13134,"Москва, Московский, 1-й микрорайон, 32А",55.5999032 37.3547548
13135,"Москва, 1-я Фрунзенская улица, 6",55.727563 37.5865006
13136,"Москва, улица Крылатские Холмы, 5, корп. 1",55.7486212 37.4241431
13137,"Москва, улица Дыбенко, 32, корп. 1",55.8753782 37.4852989
13138,"Москва, улица Гончарова, 17к4",55.815911 37.5900661
13139,"Москва, улица Вертолётчиков, 4, корп. 8",55.703261 37.947838
13140,"Москва, природно-исторический парк Кузьминки-Люблино, 1, стр. 6",55.7557052 37.6179862
13141,"Москва, Кетчерская улица, 16, стр. 2",55.7428716 37.8359032
13142,"Москва, Астраханский переулок, 5, стр. 3",55.7784793 37.639328
13143,"Москва, Лебяжий переулок, 3, стр. 4",55.7475165 37.6097406
13144,"Москва, поселение Сосенское, проспект Куприна, 2А",55.543659 37.478837
13145,"Москва, Волоколамское шоссе, 95, корп. 4",55.829087 37.405238
13146,"Москва, Беговая улица, 28",55.7814705 37.5610335
13147,"Москва, Алтуфьевское шоссе, 41А, стр. 3",55.8686098 37.5803562
13148,"Москва, улица Лужники, 24, стр. 16",55.721965 37.542599
13149,"Москва, 1-й Хорошёвский проезд, 12к1",55.775421 37.545998
13150,"Москва, Кутузовский проспект, 35, подъезд 27",55.7406926 37.5382992
13151,"Москва, Костомаровский переулок, 3, стр. 4",55.7518262 37.6667169
13152,"Москва, природный заказник Дегунинский",55.8636464 37.5669503
13153,"Москва, улица Серпуховский Вал, 21, корп. 1",55.7107641 37.6103598
13154,"Москва, Симферопольский бульвар, 15, корп. 2-3",55.6544314 37.6071447
13155,"Москва, Варшавское шоссе, 56, стр. 4",55.66434 37.617689
13156,"Москва, Новохохловская улица, 11, стр. 1",55.7290428 37.7094984
13157,"Москва, Большая Садовая улица, 1",55.7663597 37.5905324
13158,"Москва, Верхняя Сыромятническая улица, 7с3",55.7547505 37.6609993
13159,"Москва, Московский, 3-й микрорайон, 2Б",55.59633 37.342562
13160,"Москва, Кастанаевская улица, 66",55.732235 37.456873
13161,"Москва, улица Лавриненко, 5",55.701587 37.946598
13162,"Москва, 3-й проезд Перова Поля, 8, стр. 8",55.7523085 37.7724421
13163,"Москва, Московский, 1-й микрорайон, 158",55.5979954 37.3467548
13164,"Москва, Фестивальная улица, 16",55.8595236 37.4973565
13165,"Москва, проспект Андропова, 38",55.6741807 37.6615937
13166,"Москва, улица Бартеневская / улица Горчакова",55.5430873 37.5317553
13167,"Москва, 5-я Парковая улица, 6",55.789229 37.789142
13168,"Москва, Люсиновская улица, 27, стр. 1Б",55.7254714 37.6230959
13169,"Москва, улица Плющиха, 33",55.7416704 37.577622
13170,"Москва, улица Лавочкина, 42Г",55.8605411 37.4890006
13171,"Москва, 9-я Парковая улица, 68, корп. 4",55.8083192 37.7992554
13172,"Москва, улица Красная Пресня, 46с1",55.7629155 37.564579
13173,"Москва, Митинская улица, 45, корп. 2",55.8503886 37.3508899
13174,"Москва, Мантулинская улица, 9к2",55.755495 37.5449799
13175,"Москва, поселение Внуковское, Омская улица, 14, корп. 2",55.621236 37.265298
13176,"Москва, улица Борисовские Пруды, 14, корп. 5",55.6327198 37.7471214
13177,"Москва, улица Добролюбова, 8А, стр. 1",55.8103049 37.5987285
13178,"Москва, улица Егора Абакумова, 10, корп. 3",55.8801528 37.7162101
